id,serie,data,valor,carregado_em
133,dolar_comercial,2023-07-13,4.8032,2026-06-08T22:21:55.873731
134,dolar_comercial,2023-07-14,4.7951,2026-06-08T22:21:55.873731
135,dolar_comercial,2023-07-17,4.8296,2026-06-08T22:21:55.873731
136,dolar_comercial,2023-07-18,4.8034,2026-06-08T22:21:55.873731
137,dolar_comercial,2023-07-19,4.7994,2026-06-08T22:21:55.873731
138,dolar_comercial,2023-07-20,4.7882,2026-06-08T22:21:55.873731
139,dolar_comercial,2023-07-21,4.7726,2026-06-08T22:21:55.873731
140,dolar_comercial,2023-07-24,4.7451,2026-06-08T22:21:55.873731
141,dolar_comercial,2023-07-25,4.749,2026-06-08T22:21:55.873731
142,dolar_comercial,2023-07-26,4.7362,2026-06-08T22:21:55.873731
143,dolar_comercial,2023-07-27,4.7196,2026-06-08T22:21:55.873731
144,dolar_comercial,2023-07-28,4.7247,2026-06-08T22:21:55.873731
145,dolar_comercial,2023-07-31,4.7409,2026-06-08T22:21:55.873731
146,dolar_comercial,2023-08-01,4.7746,2026-06-08T22:21:55.873731
147,dolar_comercial,2023-08-02,4.8077,2026-06-08T22:21:55.873731
148,dolar_comercial,2023-08-03,4.8791,2026-06-08T22:21:55.873731
149,dolar_comercial,2023-08-04,4.8603,2026-06-08T22:21:55.873731
150,dolar_comercial,2023-08-07,4.9004,2026-06-08T22:21:55.873731
151,dolar_comercial,2023-08-08,4.9211,2026-06-08T22:21:55.873731
152,dolar_comercial,2023-08-09,4.9009,2026-06-08T22:21:55.873731
153,dolar_comercial,2023-08-10,4.8512,2026-06-08T22:21:55.873731
154,dolar_comercial,2023-08-11,4.8912,2026-06-08T22:21:55.873731
155,dolar_comercial,2023-08-14,4.9475,2026-06-08T22:21:55.873731
156,dolar_comercial,2023-08-15,4.9806,2026-06-08T22:21:55.873731
157,dolar_comercial,2023-08-16,4.9765,2026-06-08T22:21:55.873731
158,dolar_comercial,2023-08-17,4.981,2026-06-08T22:21:55.873731
159,dolar_comercial,2023-08-18,4.9718,2026-06-08T22:21:55.873731
160,dolar_comercial,2023-08-21,4.9841,2026-06-08T22:21:55.873731
161,dolar_comercial,2023-08-22,4.9425,2026-06-08T22:21:55.873731
162,dolar_comercial,2023-08-23,4.8971,2026-06-08T22:21:55.873731
163,dolar_comercial,2023-08-24,4.8742,2026-06-08T22:21:55.873731
164,dolar_comercial,2023-08-25,4.8766,2026-06-08T22:21:55.873731
165,dolar_comercial,2023-08-28,4.8933,2026-06-08T22:21:55.873731
166,dolar_comercial,2023-08-29,4.87,2026-06-08T22:21:55.873731
167,dolar_comercial,2023-08-30,4.8647,2026-06-08T22:21:55.873731
168,dolar_comercial,2023-08-31,4.9213,2026-06-08T22:21:55.873731
169,dolar_comercial,2023-09-01,4.9312,2026-06-08T22:21:55.873731
170,dolar_comercial,2023-09-04,4.917,2026-06-08T22:21:55.873731
171,dolar_comercial,2023-09-05,4.9699,2026-06-08T22:21:55.873731
172,dolar_comercial,2023-09-06,4.9756,2026-06-08T22:21:55.873731
173,dolar_comercial,2023-09-08,4.9829,2026-06-08T22:21:55.873731
174,dolar_comercial,2023-09-11,4.936,2026-06-08T22:21:55.873731
175,dolar_comercial,2023-09-12,4.9499,2026-06-08T22:21:55.873731
176,dolar_comercial,2023-09-13,4.9165,2026-06-08T22:21:55.873731
177,dolar_comercial,2023-09-14,4.8745,2026-06-08T22:21:55.873731
178,dolar_comercial,2023-09-15,4.8683,2026-06-08T22:21:55.873731
179,dolar_comercial,2023-09-18,4.8529,2026-06-08T22:21:55.873731
180,dolar_comercial,2023-09-19,4.8569,2026-06-08T22:21:55.873731
181,dolar_comercial,2023-09-20,4.8481,2026-06-08T22:21:55.873731
182,dolar_comercial,2023-09-21,4.9223,2026-06-08T22:21:55.873731
183,dolar_comercial,2023-09-22,4.9125,2026-06-08T22:21:55.873731
184,dolar_comercial,2023-09-25,4.96,2026-06-08T22:21:55.873731
185,dolar_comercial,2023-09-26,4.9711,2026-06-08T22:21:55.873731
186,dolar_comercial,2023-09-27,5.0283,2026-06-08T22:21:55.873731
187,dolar_comercial,2023-09-28,5.0469,2026-06-08T22:21:55.873731
188,dolar_comercial,2023-09-29,5.007,2026-06-08T22:21:55.873731
189,dolar_comercial,2023-10-02,5.0673,2026-06-08T22:21:55.873731
190,dolar_comercial,2023-10-03,5.1094,2026-06-08T22:21:55.873731
191,dolar_comercial,2023-10-04,5.152,2026-06-08T22:21:55.873731
192,dolar_comercial,2023-10-05,5.1707,2026-06-08T22:21:55.873731
193,dolar_comercial,2023-10-06,5.1912,2026-06-08T22:21:55.873731
194,dolar_comercial,2023-10-09,5.166,2026-06-08T22:21:55.873731
195,dolar_comercial,2023-10-10,5.0856,2026-06-08T22:21:55.873731
196,dolar_comercial,2023-10-11,5.049,2026-06-08T22:21:55.873731
197,dolar_comercial,2023-10-13,5.0619,2026-06-08T22:21:55.873731
198,dolar_comercial,2023-10-16,5.0612,2026-06-08T22:21:55.873731
199,dolar_comercial,2023-10-17,5.0378,2026-06-08T22:21:55.873731
200,dolar_comercial,2023-10-18,5.0562,2026-06-08T22:21:55.873731
201,dolar_comercial,2023-10-19,5.0534,2026-06-08T22:21:55.873731
202,dolar_comercial,2023-10-20,5.0522,2026-06-08T22:21:55.873731
203,dolar_comercial,2023-10-23,5.0158,2026-06-08T22:21:55.873731
204,dolar_comercial,2023-10-24,5.0059,2026-06-08T22:21:55.873731
205,dolar_comercial,2023-10-25,4.9975,2026-06-08T22:21:55.873731
206,dolar_comercial,2023-10-26,5.0049,2026-06-08T22:21:55.873731
207,dolar_comercial,2023-10-27,4.9474,2026-06-08T22:21:55.873731
208,dolar_comercial,2023-10-30,5.0068,2026-06-08T22:21:55.873731
209,dolar_comercial,2023-10-31,5.0569,2026-06-08T22:21:55.873731
210,dolar_comercial,2023-11-01,5.0188,2026-06-08T22:21:55.873731
211,dolar_comercial,2023-11-03,4.8904,2026-06-08T22:21:55.873731
212,dolar_comercial,2023-11-06,4.8993,2026-06-08T22:21:55.873731
213,dolar_comercial,2023-11-07,4.8664,2026-06-08T22:21:55.873731
214,dolar_comercial,2023-11-08,4.8849,2026-06-08T22:21:55.873731
215,dolar_comercial,2023-11-09,4.9001,2026-06-08T22:21:55.873731
216,dolar_comercial,2023-11-10,4.9213,2026-06-08T22:21:55.873731
217,dolar_comercial,2023-11-13,4.924,2026-06-08T22:21:55.873731
218,dolar_comercial,2023-11-14,4.8676,2026-06-08T22:21:55.873731
219,dolar_comercial,2023-11-16,4.8569,2026-06-08T22:21:55.873731
220,dolar_comercial,2023-11-17,4.8843,2026-06-08T22:21:55.873731
221,dolar_comercial,2023-11-20,4.8717,2026-06-08T22:21:55.873731
222,dolar_comercial,2023-11-21,4.88,2026-06-08T22:21:55.873731
223,dolar_comercial,2023-11-22,4.8962,2026-06-08T22:21:55.873731
224,dolar_comercial,2023-11-23,4.8925,2026-06-08T22:21:55.873731
225,dolar_comercial,2023-11-24,4.8921,2026-06-08T22:21:55.873731
226,dolar_comercial,2023-11-27,4.8945,2026-06-08T22:21:55.873731
227,dolar_comercial,2023-11-28,4.8861,2026-06-08T22:21:55.873731
228,dolar_comercial,2023-11-29,4.8927,2026-06-08T22:21:55.873731
229,dolar_comercial,2023-11-30,4.9349,2026-06-08T22:21:55.873731
230,dolar_comercial,2023-12-01,4.9185,2026-06-08T22:21:55.873731
231,dolar_comercial,2023-12-04,4.9085,2026-06-08T22:21:55.873731
232,dolar_comercial,2023-12-05,4.9516,2026-06-08T22:21:55.873731
233,dolar_comercial,2023-12-06,4.9025,2026-06-08T22:21:55.873731
234,dolar_comercial,2023-12-07,4.8943,2026-06-08T22:21:55.873731
235,dolar_comercial,2023-12-08,4.9152,2026-06-08T22:21:55.873731
236,dolar_comercial,2023-12-11,4.9434,2026-06-08T22:21:55.873731
237,dolar_comercial,2023-12-12,4.947,2026-06-08T22:21:55.873731
238,dolar_comercial,2023-12-13,4.9573,2026-06-08T22:21:55.873731
239,dolar_comercial,2023-12-14,4.8906,2026-06-08T22:21:55.873731
240,dolar_comercial,2023-12-15,4.9391,2026-06-08T22:21:55.873731
241,dolar_comercial,2023-12-18,4.9393,2026-06-08T22:21:55.873731
242,dolar_comercial,2023-12-19,4.8657,2026-06-08T22:21:55.873731
243,dolar_comercial,2023-12-20,4.876,2026-06-08T22:21:55.873731
244,dolar_comercial,2023-12-21,4.8749,2026-06-08T22:21:55.873731
245,dolar_comercial,2023-12-22,4.8613,2026-06-08T22:21:55.873731
246,dolar_comercial,2023-12-26,4.8362,2026-06-08T22:21:55.873731
247,dolar_comercial,2023-12-27,4.83,2026-06-08T22:21:55.873731
248,dolar_comercial,2023-12-28,4.8407,2026-06-08T22:21:55.873731
249,dolar_comercial,2023-12-29,4.8407,2026-06-08T22:21:55.873731
250,igpm_mensal,2023-01-01,0.21,2026-06-08T22:21:55.902036
251,igpm_mensal,2023-02-01,-0.06,2026-06-08T22:21:55.902036
252,igpm_mensal,2023-03-01,0.05,2026-06-08T22:21:55.902036
253,igpm_mensal,2023-04-01,-0.95,2026-06-08T22:21:55.902036
254,igpm_mensal,2023-05-01,-1.84,2026-06-08T22:21:55.902036
255,igpm_mensal,2023-06-01,-1.93,2026-06-08T22:21:55.902036
256,igpm_mensal,2023-07-01,-0.72,2026-06-08T22:21:55.902036
257,igpm_mensal,2023-08-01,-0.14,2026-06-08T22:21:55.902036
258,igpm_mensal,2023-09-01,0.37,2026-06-08T22:21:55.902036
259,igpm_mensal,2023-10-01,0.5,2026-06-08T22:21:55.902036
260,igpm_mensal,2023-11-01,0.59,2026-06-08T22:21:55.902036
261,igpm_mensal,2023-12-01,0.74,2026-06-08T22:21:55.902036
523,ipca_mensal,2023-01-01,0.53,2026-06-08T22:24:09.917579
524,ipca_mensal,2023-02-01,0.84,2026-06-08T22:24:09.917579
525,ipca_mensal,2023-03-01,0.71,2026-06-08T22:24:09.917579
526,ipca_mensal,2023-04-01,0.61,2026-06-08T22:24:09.917579
527,ipca_mensal,2023-05-01,0.23,2026-06-08T22:24:09.917579
528,ipca_mensal,2023-06-01,-0.08,2026-06-08T22:24:09.917579
